q1	q2	q3	q4	q5	q6
-0.959931	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.959930980806387	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599308467415522	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599304837320403	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599297785726854	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599286189244118	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599268933120334	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599244911220529	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599213026004626	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.959917218850543	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599121318306642	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9599059343520834	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9598985200767467	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9598897835150879	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9598796200238284	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9598679258037771	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.95985459789763	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9598395341877696	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9598226333940656	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9598037950716741	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9597829196088373	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9597599082246833	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9597346629670257	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9597070867101642	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9596770831526833	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9596445568152526	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9596094130384265	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9595715579804438	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9595308986150278	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9594873427291859	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9594407989210091	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.959391176597472	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9593383859722328	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9592823380634323	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9592229446914949	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9591601184769271	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9590937728381177	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9590238219891382	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9589501809375415	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9588727654821624	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.958791492210917	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.958706278498603	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9586170425046985	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9585237031711628	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9584261802202355	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9583243941522362	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9582182662433649	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9581077185435013	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9579926738740044	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9578730558255129	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9577487887557441	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9576197977872944	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9574860088054387	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9573473484559304	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9572037441428007	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.957055124026159	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9569014170199922	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9567425527899643	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9565784617512173	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9564090750661689	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9562343246423144	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9560541431300253	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9558684639203494	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9556772211428102	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9554803496632068	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9552777850814146	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9550694637291832	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.954855322667938	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.954635299686579	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9544093332992805	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.954177362743291	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9539393279767334	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9536951696764048	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9534448292355747	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.953188248761787	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9529253710746584	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9526561397036784	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9523804988860091	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9520983935642849	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9518097693844129	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9515145726933714	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9512127505370108	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.950904250657853	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9505890214928907	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9502670121713881	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9499381725126798	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9496024530239707	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9492598048981364	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9489101800115225	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9485535309217437	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9481898108654851	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9478189737563008	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9474409741824136	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9470557674045157	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9466633093535672	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9462635566285975	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9458564664945031	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9454419968798491	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9450201063746679	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9445907542282593	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9441539003469903	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9437095052920951	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9432575302774739	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9427979371674942	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9423306884747888	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9418557473580575	-0.314159	1.69297	0.05	-1.98968	0.959931
